,Feature,importance
1616,Ti,0.00032976907377572305
995,MIC2,0.00032932911083821735
202,MATS8e,0.000328875702048163
187,MATS5c,0.0003284475785425701
1223,TDB1v,0.0003276173412843921
1268,TDB6s,0.00032722098079946907
1246,TDB4p,0.00032631939990659
1227,TDB5v,0.0003255016595022478
1623,L3s,0.0003244810874908084
1263,TDB1s,0.0003228172444058711
47,AATS4p,0.00032262954731081505
91,ATSC4v,0.0003222571175634785
1517,RDF30s,0.00032186990523979617
1627,E2s,0.0003215345971475849
1155,JGI9,0.000320771461593852
166,AATSC6p,0.0003201372562576585
1243,TDB1p,0.0003188078044955293
1232,TDB10v,0.00031846086733636073
1379,RDF90m,0.0003177639381764784
208,MATS4s,0.00031723274666374735
936,ETA_dBeta,0.00031669668412321494
544,SwHBa,0.00031665781498529347
1367,RDF30m,0.00031599680722869955
85,ATSC6m,0.0003147131668872348
1238,TDB6e,0.0003146674635290753
159,AATSC7e,0.0003144163830435881
358,SPC-4,0.0003135857404041845
110,ATSC6p,0.0003133214128756799
249,GATS5p,0.0003119110723604742
1212,TDB10u,0.0003105477672697143
1488,RDF35i,0.0003099034692835579
992,BIC5,0.0003098929475319282
998,MIC5,0.00030850667805645555
1335,RDF20u,0.00030823874230867054
136,AATSC7c,0.0003080354118031864
198,MATS4e,0.00030778993091097763
591,SaaaC,0.0003077800418589624
87,ATSC8m,0.0003076324427769506
1574,E1v,0.00030658897352154826
1535,RDF120s,0.00030585192502410977
952,ETA_Eta_B_RC,0.00030568650238389626
1256,TDB4i,0.00030515803346154347
905,MAXDN,0.00030442273277089663
78,ATSC8c,0.00030219640876389975
1241,TDB9e,0.0003014332285041854
699,minsCH3,0.00030109391545414646
662,minHBa,0.00030088743784190944
252,GATS8p,0.0003006411351319234
107,ATSC3p,0.00030030661234322015
1594,De,0.00029914729691688224
986,CIC5,0.00029907934323631144
419,VR2_Dt,0.00029862028415574514
1293,FPSA-2,0.00029853011893697326
1237,TDB5e,0.000298345257968697
239,GATS3e,0.0002982805324589748
1278,TDB6r,0.00029782991914166366
297,BCUTp-1l,0.00029737111767649306
192,MATS3m,0.0002972880200343649
133,AATSC4c,0.00029685911796099136
782,maxwHBa,0.00029466972347646483
402,Mv,0.0002940389417625528
343,SCH-6,0.0002935193578555724
1056,piPC9,0.00029324513711384776
142,AATSC5m,0.0002929681183714699
194,MATS5m,0.0002923129266479843
1513,RDF10s,0.00029145133530935783
256,GATS4i,0.00028781884012913126
71,ATSC1c,0.0002860428088713467
923,ETA_dEpsilon_D,0.0002858181731778214
199,MATS5e,0.00028506927827533153
356,VC-5,0.0002841819567795407
1378,RDF85m,0.00028347115706710545
123,ATSC1s,0.00028336554914278793
269,SM1_DzZ,0.00028313635107938363
1490,RDF45i,0.0002816529472372985
234,GATS6v,0.00028023589301584133
28,AATS8m,0.0002797625767763905
138,AATSC0m,0.0002786395943431762
97,ATSC1e,0.0002784000348714297
275,SM1_Dzv,0.00027810630242202825
1057,piPC10,0.0002780326774026599
1522,RDF55s,0.00027802955125672614
163,AATSC3p,0.0002770064138533626
53,AATS1i,0.0002764472468770569
354,VC-3,0.000276305954846911
254,GATS2i,0.0002757218530872844
185,MATS3c,0.00027537785581307843
1020,MDEC-33,0.00027531169851631085
329,SpMin1_Bhs,0.0002746174286402639
146,AATSC0v,0.00027434325541779713
173,AATSC5i,0.00027293890503255006
67,AATS6s,0.00027251245011460963
1518,RDF35s,0.00027207847085277103
1558,L3m,0.0002719496380876105
709,minaasC,0.0002718896091066457
1289,DPSA-1,0.0002712608356514304
835,maxssNH,0.000270941919336837
982,CIC1,0.00027085844428998416
1281,TDB9r,0.000270326158662468
201,MATS7e,0.00026957825162288076
976,SIC1,0.00026812246649301325
1571,L3v,0.00026697510715650564
51,AATS8p,0.000266959865651831
88,ATSC1v,0.000266695730211615
809,maxHother,0.0002662458442749332
663,minwHBa,0.0002662239789086591
967,IC4,0.0002659989425901893
1459,RDF40p,0.0002642731570005848
29,AATS0v,0.00026398348586539883
393,AVP-5,0.00026388361259224643
243,GATS7e,0.00026347466881191577
2,ALogp2,0.0002633628763872313
670,minHBint8,0.00026326558641370866
1190,SRW10,0.0002628873888832676
1607,Dp,0.000262168852014429
135,AATSC6c,0.0002621173185586802
673,minHsOH,0.00026136505193797167
1327,MOMI-XZ,0.00026128432049723967
1612,P2i,0.0002611304670196411
1274,TDB2r,0.00026079173792951097
1396,RDF25v,0.0002596680882315003
20,ATS3s,0.000257840587586587
119,ATSC6i,0.00025765190206799893
130,ATSC8s,0.00025668063724760214
1376,RDF75m,0.0002556766624522684
233,GATS5v,0.00025472953462996284
603,SsssN,0.00025462508105275237
1046,MPC10,0.0002537388598340919
1399,RDF40v,0.0002527889978147925
1398,RDF35v,0.0002501087875800424
1275,TDB3r,0.00025007149754168286
282,VE2_Dzp,0.0002494753127259075
245,GATS1p,0.00024868827984810904
214,GATS2c,0.0002483891951580486
914,ETA_dAlpha_B,0.0002469728679206358
1601,E2p,0.0002462305791798027
1308,THSA,0.0002462052124818442
1280,TDB8r,0.0002459253976233276
